feature,psi,alert
FAT_DIAS_DESDE_PRIMEIRA_FAT,1.912136,RED
PAG_QTD_FATURAS_DISTINTAS,0.92919,RED
REC_QTD_MESES_ATIVOS,0.412907,RED
PAG_INDICE_CONCENTRACAO,0.316039,RED
FAT_QTD_FATURAS,0.16216,YELLOW
FAT_INDICE_CONCENTRACAO_FAT,0.141936,YELLOW
PAG_QTD_STATUS_R,0.140293,YELLOW
FAT_TAXA_ATRASO,0.140116,YELLOW
PAG_VLR_ALOCACAO_PYM,0.137702,YELLOW
PAG_TAXA_STATUS_R,0.135139,YELLOW
PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,0.129323,YELLOW
PAG_VLR_BAIXA_ATIVIDADE_TOTAL,0.129006,YELLOW
FAT_QTD_FATURAS_SEM_PDD,0.125865,YELLOW
FAT_INDICE_CONCENTRACAO_PLATAFORMA,0.12106,YELLOW
PAG_VLR_PAGAMENTO_CREDITO_MEDIO,0.103174,YELLOW
REC_QTD_DIAS_RECARGA,0.093765,GREEN
FAT_QTD_FAT_AUTOC,0.092638,GREEN
FAT_VLR_MEDIO_WO,0.091098,GREEN
PAG_DIAS_DESDE_ULTIMA_FATURA,0.07416,GREEN
FAT_QTD_FAT_POSPG,0.072958,GREEN
PAG_TAXA_FORMA_PB,0.068247,GREEN
REC_QTD_PLAT_AUTOC,0.060019,GREEN
PAG_TAXA_FORMA_CA,0.059652,GREEN
PAG_VLR_STATUS_R,0.056866,GREEN
REC_QTD_RECARGAS_TOTAL,0.053989,GREEN
FAT_VLR_FAT_AUTOC,0.05078,GREEN
PAG_VLR_TICKET_MEDIO_CONTRATO,0.049944,GREEN
FAT_VLR_MEDIO_PDD,0.047736,GREEN
REC_VLR_REAL_STDDEV,0.046751,GREEN
PAG_VLR_TIPO_O,0.044184,GREEN
FAT_DIAS_ATRASO_MEDIO,0.044078,GREEN
REC_RATIO_BONUS_CREDITO,0.04175,GREEN
FAT_VLR_FAT_LIQUIDO_TOTAL,0.038087,GREEN
REC_INDICE_CONCENTRACAO_CREDITO,0.036714,GREEN
FAT_DIAS_ATRASO_MIN,0.03483,GREEN
REC_QTD_STATUS_ZB1,0.032685,GREEN
FAT_DIAS_MAX_CRIACAO_VENCIMENTO,0.029803,GREEN
REC_QTD_CARTAO_ONLINE,0.027191,GREEN
REC_VLR_CREDITO_TOTAL,0.027053,GREEN
FAT_QTD_FATURAS_PRIMEIRA,0.025133,GREEN
REC_COEF_VARIACAO_REAL,0.025113,GREEN
FAT_DIAS_DESDE_ATIVACAO_CONTA,0.022833,GREEN
FAT_VLR_PRIMEIRA_FAT,0.021563,GREEN
FAT_DIAS_ATRASO_MAX,0.017278,GREEN
FAT_TAXA_MULTA_JUROS,0.017203,GREEN
FAT_VLR_FAT_CREDITO_TOTAL,0.017114,GREEN
REC_QTD_INSTITUICOES,0.016079,GREEN
REC_VLR_BONUS_TOTAL,0.015462,GREEN
REC_QTD_PLANOS,0.015073,GREEN
FAT_QTD_FATURAS_NAO_ISENTAS,0.014839,GREEN
REC_TAXA_STATUS_ZB1,0.010845,GREEN
REC_TAXA_STATUS_A,0.010711,GREEN
REC_QTD_CLIENTES_DW,0.00989,GREEN
REC_DIAS_DESDE_ULTIMA_RECARGA,0.009852,GREEN
FAT_VLR_FAT_POSPG,0.00968,GREEN
REC_QTD_TIPOS_RECARGA,0.009409,GREEN
PAG_COEF_VARIACAO_PAGAMENTO,0.008235,GREEN
FAT_AMPLITUDE_RELATIVA_FAT,0.008097,GREEN
FAT_VLR_FAT_BRUTO_STDDEV,0.007923,GREEN
FAT_QTD_FAT_SEM_PLATAFORMA,0.007576,GREEN
PAG_VLR_PAGAMENTO_FATURA_STDDEV,0.006885,GREEN
FAT_QTD_FATURAS_ATRASADAS,0.006296,GREEN
FAT_VLR_FAT_CREDITO_MEDIO,0.006258,GREEN
TARGET_SCORE_01,0.00592,GREEN
var_73,0.00582,GREEN
FAT_VLR_MEDIO_PRIMEIRA_FAT,0.005724,GREEN
FAT_DIAS_MIN_CRIACAO_VENCIMENTO,0.005659,GREEN
REC_COEF_VARIACAO_CREDITO,0.005356,GREEN
var_16,0.005323,GREEN
PAG_TAXA_PAGAMENTOS_COM_JUROS,0.005161,GREEN
FAT_VLR_FAT_ABERTO_LIQ_MEDIO,0.004928,GREEN
REC_TAXA_SOS,0.004857,GREEN
PAG_QTD_FORMA_DD,0.004336,GREEN
REC_TAXA_CARTAO_PROMO,0.004043,GREEN
FAT_TAXA_CREDITO_BRUTO,0.003777,GREEN
PAG_QTD_FORMA_PA,0.003763,GREEN
PAG_VLR_FORMA_PA,0.00344,GREEN
REC_FREQ_RECARGA_DIARIA,0.00341,GREEN
FAT_VLR_FAT_LIQUIDO_MEDIO,0.003409,GREEN
REC_QTD_SOS,0.003349,GREEN
TARGET_SCORE_02,0.003215,GREEN
REC_QTD_CARTAO_CHIPPRE,0.003132,GREEN
REC_SHARE_CARTAO_ONLINE,0.002647,GREEN
REC_VLR_CREDITO_STDDEV,0.00259,GREEN
PAG_TAXA_FORMA_PA,0.002176,GREEN
var_89,0.002165,GREEN
REC_VLR_CREDITO_MIN,0.002037,GREEN
var_67,0.001894,GREEN
PAG_VLR_TIPO_D,0.001826,GREEN
FAT_TAXA_PRIMEIRA_FAT,0.001612,GREEN
var_82,0.001575,GREEN
REC_TAXA_CARTAO_ONLINE,0.001329,GREEN
REC_SCORE_RISCO,0.001063,GREEN
var_72,0.00105,GREEN
var_71,0.00103,GREEN
PAG_TAXA_FORMA_DD,0.000966,GREEN
REC_TAXA_PLAT_PREPG,0.000884,GREEN
PAG_VLR_PAGAMENTO_CREDITO_MAX,0.00086,GREEN
var_66,0.00083,GREEN
var_35,0.000767,GREEN
FAT_VLR_FAT_ABERTO_MAX,0.000759,GREEN
PAG_VLR_JUROS_MULTAS_MEDIO,0.000597,GREEN
REC_TAXA_PLAT_AUTOC,0.000594,GREEN
var_32,0.000544,GREEN
var_34,0.000512,GREEN
PAG_TAXA_JUROS_SOBRE_PAGAMENTO,0.00047,GREEN
var_62,0.000281,GREEN
var_02,0.000192,GREEN
var_41,0.000169,GREEN
var_50,0.000124,GREEN
var_08,8.8e-05,GREEN
var_61,5.9e-05,GREEN
var_07,4.8e-05,GREEN
var_05,4.2e-05,GREEN
